report_id,risk,phone_num,insp_date,insp_timein,insp_timeout,insp_name,insp_badge
105164,3,2024839300,2013-06-12,18:20:00,19:20:00,A. Jackson,54
105166,3,2024623700,2013-06-12,14:45:00,15:15:00,A. Jackson,54
105169,3,2023280121,2013-06-14,10:45:00,11:30:00,A. Jackson,54
105178,3,2027231082,2013-06-21,14:15:00,14:45:00,A. Jackson,54
105185,4,2026670010,2013-06-26,19:00:00,08:15:00,A. Jackson,54
119160,3,2022653413,2013-07-12,18:00:00,19:00:00,Joyce Moore,64
119161,2,,2013-07-12,19:10:00,20:00:00,Joyce Moore,64
119165,2,2022442447,2013-07-22,14:30:00,,Joyce Moore,64
119168,3,2029559001,2013-07-24,18:00:00,19:10:00,Joyce Moore,64
119169,3,2023374663,2013-07-25,11:00:00,11:45:00,Joyce Moore,64
119170,5,,2013-07-25,12:15:00,13:00:00,Joyce Moore,64
119174,2,2022990018,2013-07-30,14:05:00,14:40:00,Joyce Moore,64
119179,2,2022650868,2013-08-02,14:15:00,15:15:00,Joyce Moore,64
119183,3,2026865805,2013-08-07,10:30:00,11:30:00,Joyce Moore,64
119191,3,2026867222,2013-08-09,13:00:00,14:00:00,Joyce Moore,64
119194,4,2025431040,2013-08-13,10:15:00,13:30:00,JoyceMoore/Denise Lucas,64
119198,2,2022442223,2013-08-14,12:23:00,,Joyce Moore,64
119203,2,2023634220,2013-08-16,12:45:00,,Joyce Moore,64
119206,2,2024292253,2013-08-19,11:20:00,,Joyce Moore,64
119209,3,2026863588,2013-08-20,12:00:00,13:15:00,JOYCE MOORE,64
119210,3,2023396493,2013-08-20,14:00:00,,Joyce Moore,64
119218,3,2023622583,2013-09-04,12:30:00,,Joyce Moore,64
119222,2,2024644354,2013-09-05,11:05:00,11:45:00,JOYCE MOORE,64
119224,3,2022650010,2013-09-06,13:45:00,14:45:00,Joyce Moore,64
119226,3,2028068940,2013-09-05,18:45:00,,JOYCE MOORE,64
119237,2,,2013-09-12,11:00:00,11:45:00,JOYCE MOORE,64
119239,3,2022443995,2013-09-12,14:00:00,14:45:00,Joyce Moore,64
119251,3,2022433030,2013-09-24,11:00:00,11:45:00,Joyce Moore,64
119254,3,2023646549,2013-09-24,14:30:00,15:15:00,joyce Moore,64
119259,2,,2013-10-08,11:30:00,12:30:00,Joyce Moore,64
119261,3,2022370604,2013-10-15,11:00:00,12:00:00,JOYCE MOORE,64
119263,3,2029662530,2013-10-18,11:45:00,,,64
119268,3,2023648313,2013-10-28,12:15:00,13:00:00,Joyce Moore,64
119272,3,2023381414,2013-10-31,12:00:00,13:00:00,Joyce Moore,64
119277,3,2022987777,2013-11-06,13:45:00,14:30:00,JOYCE MOORE,64
119280,2,2023622253,2013-11-07,13:45:00,14:30:00,Joyce Moore,64
119285,3,2022370604,2013-11-18,14:00:00,14:40:00,JOYCE MOORE,64
119289,3,2022441395,2013-11-20,11:00:00,12:10:00,Joyce Moore,64
119294,3,2022441395,2013-11-25,10:30:00,11:20:00,JOYCE MOORE,64
119300,2,2022371234,2013-12-05,14:00:00,14:45:00,Joyce Moore,64
119303,3,2029692858,2013-12-13,10:15:00,11:00:00,Joyce Moore,64
119304,2,2022231981,2013-12-16,10:30:00,11:45:00,Joyce Moore,64
119313,2,2024628355,2014-01-14,13:30:00,14:30:00,Joyce Moore,64
119322,3,2026592696,2014-01-17,12:02:00,13:15:00,Joyce Moore,64
119323,4,2029861415,2014-01-23,10:00:00,15:00:00,Joyce Moore,64
119342,3,2022865181,2014-02-12,10:45:00,12:15:00,Joyce Moore,64
119344,3,2023381414,2014-02-18,10:30:00,11:30:00,Joyce Moore,64
119345,4,2023422500,2014-02-19,10:30:00,13:30:00,Joyce Moore,64
119349,3,2022961950,2014-03-11,12:30:00,13:40:00,Joyce Moore,64
119351,2,2022932057,2014-03-18,11:30:00,12:30:00,Joyce Moore,64
119356,3,2024503412,2014-03-24,11:00:00,12:00:00,Joyce Moore,64
119359,3,2025054000,2014-03-25,12:00:00,12:45:00,Joyce Moore,64
119364,3,2023337370,2014-03-27,12:15:00,13:35:00,Joyce Moore,64
119366,3,2023445911,2014-03-31,11:00:00,12:00:00,Joyce Moore,64
119370,2,2023338288,2014-04-02,11:00:00,,Joyce Moore,64
119371,3,2023338800,2014-04-02,12:00:00,13:30:00,Joyce Moore,64
119376,2,2022865181,2014-04-08,12:32:00,13:30:00,JOYCE MOORE,64
119377,3,2023638218,2014-04-10,13:15:00,13:55:00,Joyce Moore,64
119389,3,2022443995,2014-05-05,11:00:00,,Joyce Moore,64
119391,3,2023674955,2014-05-06,10:45:00,12:30:00,Joyce Moore,64
119392,2,2026870782,2014-05-06,12:30:00,13:00:00,Joyce Moore,64
119402,3,2022930110,2014-06-02,10:50:00,11:45:00,Joyce Moore,64
119409,3,2026867222,2014-06-13,11:00:00,12:05:00,Joyce Moore,64
136845,3,2025470172,2013-12-03,12:45:00,13:35:00,FANG,611
153377,3,2025476600,2013-06-12,13:30:00,14:55:00,R ESPY-HARLAN,59
153383,2,2024560500,2013-06-17,11:20:00,12:30:00,R ESPY-HARLAN,59
153385,2,,2013-06-18,14:00:00,15:15:00,R ESPY-HARLAN,59
153398,3,2023477359,2013-07-11,14:30:00,16:00:00,R ESPY-HARLAN,59
153401,3,2026821111,2013-07-25,12:00:00,13:20:00,R ESPY-HARLAN,59
153404,3,2022169550,2013-07-29,12:00:00,13:30:00,R ESPY-HARLAN,59
153408,3,2026282222,2013-07-31,14:15:00,16:20:00,R ESPY-HARLAN,59
153412,3,,2013-08-05,11:00:00,12:25:00,R ESPY-HARLAN,59
153417,2,2026382460,2013-08-08,13:45:00,15:00:00,R ESPY-HARLAN,59
153421,3,2027370327,2013-08-28,13:27:00,14:30:00,R ESPY-HARLAN,59
153422,3,2023932900,2013-08-28,11:30:00,00:30:00,R ESPY-HARLAN,59
153424,3,2025067272,2013-08-29,14:10:00,15:10:00,R ESPY-HARLAN,59
153426,4,2026217963,2013-08-29,18:00:00,19:30:00,R ESPY-HARLAN,59
153427,4,2026217963,2013-08-29,18:00:00,19:30:00,R ESPY-HARLAN,59
153430,2,2023869579,2013-12-13,11:30:00,12:30:00,R ESPY-HARLAN,59
153431,2,2023869579,2013-12-13,11:30:00,12:30:00,R ESPY-HARLAN,59
153434,3,2023475732,2013-12-11,12:30:00,13:45:00,R ESPY-HARLAN,59
153435,3,2023475732,2013-12-11,12:30:00,13:45:00,R ESPY-HARLAN,59
183118,2,2023880348,2013-06-12,10:44:00,12:26:00,Ivory Gene Cooper / Temesgen Jemaneh,650
183120,3,2023330111,2013-06-12,11:10:00,13:00:00,Denise T. Lucas/Seanita Terry,603
183123,3,2022137695,2013-06-12,12:00:00,12:45:00,Bruce E. Flippens,411
183124,2,2024607492,2013-06-12,10:45:00,11:30:00,FANG,611
183126,2,2023333443,2013-06-12,15:00:00,15:50:00,Denise T. Lucas/Seanita Terry,603
183135,3,2024835000,2013-06-12,17:45:00,18:05:00,Carolene Bailey,107
183137,2,2026218323,2013-06-12,19:30:00,20:30:00,Carolene Bailey,107
183148,2,2022962575,2013-06-12,22:40:00,01:15:00,Carolene Bailey,107
183153,4,2022891703,2013-06-13,12:30:00,13:50:00,FANG,611
183160,5,2027850012,2013-06-12,11:45:00,12:40:00,Carolene Bailey,107
183168,3,2028323334,2013-06-14,11:00:00,12:00:00,FANG,611
183172,2,2023338830,2013-06-14,14:15:00,15:30:00,Denise T. Lucas,603
183181,3,2023334733,2013-06-17,12:10:00,14:15:00,Denise T. Lucas,603
183200,2,2023880348,2013-06-18,11:45:00,13:40:00,FANG,611
183210,4,2025890351,2013-06-18,11:35:00,14:20:00,SHARON CAVE,124
183220,2,2025432549,2013-06-19,12:05:00,13:00:00,Denise T. Lucas,603
183240,3,2022651818,2013-06-19,20:00:00,20:45:00,Carolene Bailey,107
183241,3,,2013-06-20,18:00:00,19:15:00,R ESPY-HARLAN,59
183245,3,2027830007,2013-06-20,12:58:00,15:01:00,Ivory Gene Cooper / Temesgen Jemaneh,650
183251,3,2028323334,2013-06-20,14:33:00,15:15:00,FANG,611
183255,3,2023333120,2013-06-19,19:30:00,21:00:00,R ESPY-HARLAN,59
183261,2,2023328899,2013-06-20,19:25:00,20:45:00,Carolene Bailey,107
183277,3,2023991725,2013-06-19,12:10:00,12:50:00,Carolene Bailey,107
183279,3,2027583637,2013-06-19,12:55:00,13:50:00,Carolene Bailey,107
183280,3,,2013-06-21,10:45:00,11:20:00,Carolene Bailey,107
183282,3,2027331285,2013-06-21,15:14:00,16:15:00,C BASSEY,612
183294,3,2023330111,2013-06-24,11:30:00,12:15:00,Denise T. Lucas,603
183295,3,2027832123,2013-06-24,14:04:00,15:51:00,Ivory Gene Cooper / Temesgen Jemaneh,650
183297,3,2023991725,2013-06-24,10:45:00,11:20:00,FANG,611
183298,3,2025476600,2013-06-24,13:04:00,13:50:00,FANG,611
183305,2,2022962575,2013-06-21,12:25:00,13:10:00,Carolene Bailey,107
183306,3,2023472233,2013-06-20,13:45:00,14:35:00,Carolene Bailey,107
183307,3,2024833000,2013-06-24,11:15:00,11:45:00,Carolene Bailey,107
183320,3,,2013-06-24,14:30:00,15:00:00,Carolene Bailey,107
183326,3,2028323334,2013-06-25,10:00:00,10:40:00,FANG,611
183335,3,2024644461,2013-06-25,12:00:00,13:30:00,R ESPY-HARLAN,59
183338,3,2023640777,2013-06-25,18:50:00,19:30:00,Joyce Moore,64
183345,2,2023640404,2013-06-25,17:30:00,18:15:00,Joyce Moore,64
183348,4,2022891703,2013-06-25,12:00:00,12:35:00,SHARON CAVE,124
183356,3,,2013-06-25,17:55:00,19:15:00,ROSS GATERETSE,624
183363,3,2027830007,2013-06-26,13:30:00,14:00:00,SHARON CAVE,124
183365,2,,2013-06-24,11:10:00,11:40:00,SHARON CAVE,124
183373,3,2025759464,2013-06-25,10:32:00,11:40:00,C BASSEY,612
183385,3,2024346405,2013-06-27,12:35:00,14:55:00,SHARON CAVE,124
183390,2,2025060019,2013-06-27,18:00:00,19:00:00,Joyce Moore,64
183411,2,2026218323,2013-06-27,19:55:00,20:30:00,Joyce Moore,64
183414,2,2022990018,2013-06-18,12:00:00,13:00:00,Carolene Bailey,107
