,crit_viol,yelp_rating,yelp_reviews,risk,insp_badge,crime_count,311_count,construction_count,avg_high_temp,time_diff,target
1061,1,4.0,83,2,54,15.0,0.0,9.0,63.26,-627,0
1028,8,4.5,3,2,422,28.0,0.0,11.0,68.24,-257,1
1027,7,4.5,3,2,29,28.0,0.0,11.0,49.6,-336,1
1026,10,4.5,3,2,82,15.0,0.0,6.0,81.03,-184,1
1340,12,3.5,28,3,87,15.0,0.0,13.0,76.74,-344,1
1339,4,3.5,28,3,124,14.0,0.0,9.0,53.98,-204,0
941,11,3.5,28,2,89,4.0,0.0,9.0,70.0,-216,1
695,22,3.0,162,3,89,13.0,0.0,8.0,95.55,-342,1
694,4,3.0,162,3,124,8.0,0.0,11.0,48.06,-151,0
693,8,3.0,162,3,624,6.0,0.0,3.0,80.96,-149,1
692,3,3.0,162,3,612,3.0,0.0,3.0,95.66,-422,0
746,4,3.0,123,3,29,3.0,0.0,7.0,76.42,-290,0
745,0,3.0,123,3,54,2.0,0.0,1.0,81.94,-379,0
744,1,3.0,123,3,612,2.0,0.0,0.0,27.64,-245,0
743,2,3.0,123,3,64,1.0,0.0,2.0,86.96,-163,0
69,6,4.0,1029,4,603,31.0,0.0,6.0,37.31,-552,1
68,5,4.0,1029,4,422,35.0,0.0,11.0,86.29,-150,1
779,3,4.0,454,3,82,16.0,0.0,12.0,61.73,-243,0
778,1,4.0,454,3,124,12.0,0.0,12.0,70.75,-195,0
777,4,4.0,454,3,107,11.0,0.0,5.0,55.42,-174,0
776,1,4.0,454,3,422,6.0,0.0,10.0,26.38,-295,0
849,2,3.0,214,3,54,37.0,0.0,3.0,92.68,-1116,0
950,2,4.0,72,2,611,20.0,0.0,9.0,53.56,-238,0
949,4,4.0,72,2,607,4.0,0.0,3.0,53.44,-257,0
948,1,4.0,72,2,88,13.0,0.0,13.0,56.14,-111,0
947,3,4.0,72,2,54,15.0,0.0,9.0,79.37,-155,0
946,2,4.0,72,2,54,26.0,0.0,6.0,76.92,-288,0
1401,3,4.5,52,3,422,22.0,0.0,8.0,78.54,-272,0
358,10,4.0,184,2,607,7.0,0.0,5.0,85.49,-312,1
1296,3,4.5,34,3,29,8.0,0.0,12.0,87.12,-383,0
1272,4,3.0,258,3,82,10.0,0.0,3.0,71.67,-128,0
1271,12,3.0,258,3,89,5.0,0.0,3.0,68.59,-203,1
1270,5,3.0,258,3,26,5.0,0.0,3.0,79.42,-192,1
891,2,3.5,39,1,82,8.0,0.0,9.0,81.01,-641,0
964,3,3.0,149,2,59,3.0,0.0,2.0,51.42,-533,0
963,4,3.0,149,2,64,2.0,0.0,0.0,86.79,-463,0
322,2,4.0,274,3,107,19.0,0.0,5.0,69.05,-984,0
1281,4,3.5,255,3,603,13.0,0.0,8.0,80.48,-395,0
1280,1,3.5,255,3,611,13.0,0.0,6.0,34.75,-183,0
1279,13,3.5,255,3,89,21.0,0.0,14.0,78.79,-213,1
460,4,3.0,192,3,624,5.0,0.0,3.0,76.88,-271,0
459,2,3.0,192,3,54,3.0,0.0,2.0,59.5,-208,0
458,5,3.0,192,3,54,0.0,0.0,4.0,78.6,-176,1
457,6,3.0,192,3,64,3.0,0.0,0.0,68.18,-335,1
240,8,3.0,207,2,607,21.0,0.0,9.0,95.55,-342,1
239,5,3.0,207,2,88,21.0,0.0,9.0,46.9,-245,1
238,2,3.0,207,2,107,19.0,0.0,11.0,93.05,-484,0
167,7,2.5,456,3,607,33.0,0.0,10.0,87.32,-235,1
166,3,2.5,456,3,54,15.0,0.0,11.0,28.27,-136,0
165,10,2.5,456,3,121,27.0,0.0,8.0,86.91,-169,1
724,3,2.5,82,2,54,38.0,0.0,6.0,67.33,-991,0
1358,3,3.5,129,3,607,31.0,0.0,7.0,91.68,-241,0
1357,5,3.5,129,3,82,17.0,0.0,6.0,39.76,-144,1
1356,10,3.5,129,3,650,29.0,0.0,7.0,81.94,-135,1
1021,7,4.0,1,2,29,24.0,0.0,10.0,84.36,-424,1
1020,3,4.0,1,2,29,26.0,0.0,7.0,73.01,-226,0
544,4,2.5,165,3,29,3.0,0.0,2.0,74.65,-284,0
543,6,2.5,165,3,54,5.0,0.0,2.0,80.96,-358,1
542,4,2.5,165,3,612,2.0,0.0,1.0,41.44,-222,0
792,2,3.5,303,2,54,29.0,0.0,6.0,91.68,-391,0
791,3,3.5,303,2,54,10.0,0.0,16.0,62.95,-446,0
676,3,4.5,6,1,51,11.0,0.0,3.0,87.92,-1043,0
910,9,2.5,20,3,26,7.0,0.0,9.0,53.98,-607,1
909,3,2.5,20,3,124,8.0,0.0,3.0,63.76,-229,0
908,3,2.5,20,3,612,8.0,0.0,2.0,75.01,-183,0
