,inspec_id,permit_id,insp_date_x,insp_timein,insp_type,crit_viol,non_crit_viol,crit_viol_cos,crit_viol_rpt,non_crit_viol_cos,non_crit_viol_rpt,crit_viol_tbr,non_crit_viol_tbr,lat,lon,risk,insp_badge
0,105164,5853,2013-06-12,18:20:00,Routine,5.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,38.91984,-77.0414099,3,54.0
1,105166,3794,2013-06-12,14:45:00,Routine,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,38.9175771,-77.0221628,3,54.0
2,823545,3794,2016-04-04,10:00:00,Routine,4.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,38.9175771,-77.0221628,3,422.0
3,105169,5852,2013-06-14,10:45:00,Routine,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,38.9284986,-77.0335765,3,54.0
4,105185,1992,2013-06-26,19:00:00,Routine,3.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,38.931055,-77.038633,4,54.0
5,119160,2477,2013-07-12,18:00:00,Routine,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,38.918465,-77.0249709,3,64.0
6,202432,2477,2014-03-20,18:50:00,Routine,6.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,38.918465,-77.0249709,3,54.0
7,119161,6643,2013-07-12,19:10:00,Routine,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,38.919314,-77.0252272,2,64.0
8,119168,5357,2013-07-24,18:00:00,Routine,8.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,38.9041053,-77.0380755,3,64.0
9,203615,5357,2014-05-14,13:40:00,Routine,8.0,1.0,3.0,0.0,0.0,0.0,5.0,1.0,38.9041053,-77.0380755,3,82.0
10,810349,5357,2015-05-12,11:45:00,Routine,7.0,1.0,3.0,0.0,0.0,0.0,4.0,1.0,38.9041053,-77.0380755,3,607.0
11,824524,5357,2016-05-10,13:55:00,Routine,9.0,3.0,3.0,0.0,0.0,0.0,6.0,3.0,38.9041053,-77.0380755,3,624.0
12,119179,6471,2013-08-02,14:15:00,Routine,6.0,2.0,0.0,0.0,0.0,0.0,6.0,2.0,38.924755,-77.0229119,2,64.0
13,119183,3500,2013-08-07,10:30:00,Routine,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,38.9587293,-77.0851373,3,64.0
14,201185,3500,2014-01-17,13:20:00,Routine,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,38.9587293,-77.0851373,3,612.0
15,204813,3500,2014-07-08,14:52:00,Routine,2.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,38.9587293,-77.0851373,3,612.0
16,607763,3500,2015-02-10,13:15:00,Routine,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,38.9587293,-77.0851373,3,54.0
17,812957,3500,2015-08-27,23:58:00,Routine,5.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,38.9587293,-77.0851373,3,29.0
18,119191,2981,2013-08-09,13:00:00,Routine,3.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,38.9336614,-77.0726921,3,64.0
19,119409,2981,2014-06-13,11:00:00,Routine,4.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,38.9336614,-77.0726921,3,64.0
20,199336,2981,2013-10-10,13:30:00,Routine,3.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,38.9336614,-77.0726921,3,64.0
21,607125,2981,2015-01-15,13:30:00,Routine,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,38.9336614,-77.0726921,3,54.0
22,812452,2981,2015-08-05,12:40:00,Routine,9.0,2.0,7.0,0.0,0.0,0.0,2.0,2.0,38.9336614,-77.0726921,3,607.0
23,824080,2981,2016-04-22,11:49:00,Routine,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,38.9336614,-77.0726921,3,611.0
24,119198,6566,2013-08-14,12:23:00,Routine,6.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,38.9330436,-77.0849157,2,64.0
25,405955,6566,2014-11-20,13:20:00,Routine,4.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,38.9330436,-77.0849157,2,59.0
26,824425,6566,2016-05-06,11:59:00,Routine,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,38.9330436,-77.0849157,2,611.0
27,119203,3372,2013-08-16,12:45:00,Routine,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,38.9458945,-77.095346,2,64.0
28,810737,3372,2015-05-27,12:15:00,Routine,5.0,2.0,4.0,0.0,0.0,0.0,1.0,2.0,38.9458945,-77.095346,2,54.0
