doh_id,insp_rpt,yelp_rating,yelp_reviews
602,201823,4,848
602,824433,4,848
611,183277,3.5,20
611,199193,3.5,20
611,606782,3.5,20
623,201486,3.5,41
623,201486,3.5,41
623,810760,3.5,41
623,810760,3.5,41
716,404156,3.5,372
716,824849,3.5,372
725,183118,3,7
725,202471,3,7
725,814042,3,7
757,199506,3.5,5
757,202930,3.5,5
757,205380,3.5,5
757,611930,3.5,5
807,201044,4,273
807,404561,4,273
807,810276,4,273
807,823965,4,273
833,203486,4.5,42
833,405236,4.5,42
840,153377,3,96
840,201220,3,96
840,610993,3,96
840,823877,3,96
855,201071,3,40
855,205860,3,40
855,606738,3,40
862,201094,2.5,11
862,204591,2.5,11
862,612047,2.5,11
862,814176,2.5,11
867,198090,2,14
867,203077,2,14
867,405479,2,14
867,811087,2,14
871,199598,3.5,17
871,611021,3.5,17
911,201786,3.5,124
911,404520,3.5,124
911,610542,3.5,124
911,824076,3.5,124
912,201916,2,10
912,606285,2,10
912,810150,2,10
912,821864,2,10
912,822825,2,10
946,812731,3.5,36
1033,823490,3.5,38
1044,199503,3,4
1044,201515,3,4
1044,810734,3,4
1049,199850,2.5,69
1049,200804,2.5,69
1049,203835,2.5,69
1049,405731,2.5,69
1049,823608,2.5,69
1054,199451,3,23
1054,199451,3,23
1054,201144,3,23
1054,201144,3,23
1054,203683,3,23
1054,203683,3,23
1054,606427,3,23
1054,606427,3,23
1054,821795,3,23
1054,821795,3,23
1153,199174,2.5,2
1153,199174,2.5,2
1153,203577,2.5,2
1153,203577,2.5,2
1153,611405,2.5,2
1153,611405,2.5,2
1153,812699,2.5,2
1153,812699,2.5,2
1153,824422,2.5,2
1153,824422,2.5,2
1207,205231,4,1029
1207,606780,4,1029
1220,200891,3.5,148
1220,204485,3.5,148
1220,607089,3.5,148
1220,810648,3.5,148
1220,813105,3.5,148
1220,821658,3.5,148
1220,823162,3.5,148
1240,205558,2.5,45
1240,811215,2.5,45
1248,198999,3,16
1248,198999,3,16
1248,203757,3,16
1248,203757,3,16
1248,607046,3,16
1248,607046,3,16
1248,810950,3,16
1248,810950,3,16
1248,813806,3,16
1248,813806,3,16
1251,200569,3.5,66
1251,200569,3.5,66
1251,200569,3.5,66
1251,203741,3.5,66
1251,203741,3.5,66
1251,203741,3.5,66
1251,607510,3.5,66
1251,607510,3.5,66
1251,607510,3.5,66
1251,823243,3.5,66
1251,823243,3.5,66
1251,823243,3.5,66
1260,821651,3,10
1261,821689,4,345
1305,205516,3,6
1305,811261,3,6
1311,119371,4,1395
1311,810678,4,1395
1322,405822,3.5,25
1322,405822,3.5,25
1322,820029,3.5,25
1322,820029,3.5,25
1328,198916,3.5,41
1328,198916,3.5,41
1328,198916,3.5,41
1328,198916,3.5,41
1328,198916,3.5,41
1328,824008,3.5,41
1328,824008,3.5,41
1328,824008,3.5,41
1328,824008,3.5,41
1328,824008,3.5,41
1332,204416,3.5,279
1332,611577,3.5,279
1332,814260,3.5,279
1338,153408,3.5,700
1338,202442,3.5,700
1338,205396,3.5,700
1338,606588,3.5,700
1338,813480,3.5,700
1338,822120,3.5,700
1339,153404,3.5,365
1339,202408,3.5,365
1339,205249,3.5,365
1339,606524,3.5,365
1339,813531,3.5,365
1339,822145,3.5,365
1362,198349,2,49
1362,203451,2,49
1362,205531,2,49
1362,813014,2,49
1377,199177,3.5,41
1377,199177,3.5,41
1377,199177,3.5,41
1377,199177,3.5,41
1377,199177,3.5,41
1377,405795,3.5,41
1377,405795,3.5,41
1377,405795,3.5,41
1377,405795,3.5,41
1377,405795,3.5,41
1377,819812,3.5,41
1377,819812,3.5,41
1377,819812,3.5,41
1377,819812,3.5,41
1377,819812,3.5,41
1404,810603,3.5,52
1408,184068,4.5,426
1408,184068,4.5,426
1408,203920,4.5,426
1408,203920,4.5,426
1408,810265,4.5,426
1408,810265,4.5,426
1408,823955,4.5,426
1408,823955,4.5,426
1427,611169,4,315
1431,203466,4.5,88
1431,611680,4.5,88
1435,202755,3.5,11
1435,405927,3.5,11
1435,611964,3.5,11
1463,202887,3,36
1463,611721,3,36
1467,198945,3,277
1467,611834,3,277
1477,199424,4,19
1477,204934,4,19
1477,607480,4,19
1484,204300,4,1460
1484,204300,4,1460
1490,202478,4,23
1490,202478,4,23
1490,202478,4,23
1493,205469,3.5,273
1493,205469,3.5,273
1493,205469,3.5,273
1493,810881,3.5,273
1493,810881,3.5,273
1493,810881,3.5,273
1496,199061,3,476
1496,205161,3,476
1496,607330,3,476
1496,813470,3,476
1496,824387,3,476
1500,811003,4,196
1516,198704,3.5,3144
1516,205510,3.5,3144
1516,607495,3.5,3144
1516,811111,3.5,3144
1516,823066,3.5,3144
1536,183911,4,62
