,crit_viol,yelp_rating,yelp_reviews,risk,insp_badge,crime_count,311_count,construction_count,avg_high_temp,time_diff,target
0,2,3.5,28,3,88,9.0,2.0,2.0,80.41,-864,0
1,1,4.5,52,3,54,7.0,0.0,8.0,43.13,-864,0
2,5,3.0,258,3,607,1.0,0.0,4.0,54.07,-864,1
3,2,4.0,44,3,64,37.0,1.0,0.0,84.14,-864,0
4,1,3.0,149,2,611,2.0,0.0,0.0,80.41,-864,0
5,6,2.5,456,3,422,27.0,0.0,17.0,34.22,-864,1
6,2,3.5,129,3,422,29.0,0.0,14.0,34.22,-864,0
7,11,3.5,22,3,121,4.0,0.0,2.0,36.6,-864,1
8,2,4.5,1612,4,422,16.0,0.0,7.0,58.31,-864,0
9,5,3.5,94,2,107,20.0,0.0,5.0,64.85,-864,1
10,1,3.5,261,3,422,2.0,0.0,5.0,36.6,-864,0
11,0,3.5,372,2,54,18.0,0.0,2.0,84.14,-864,0
12,6,3.0,96,3,607,13.0,0.0,11.0,71.36,-864,1
13,2,4.0,44,3,603,11.0,0.0,2.0,86.82,-864,0
14,5,4.0,238,3,603,13.0,0.0,7.0,72.27,-864,1
15,7,4.0,23,3,603,0.0,0.0,0.0,73.11,-864,1
16,1,3.5,80,3,88,4.0,0.0,0.0,62.6,-864,0
17,4,3.0,23,3,29,2.0,0.0,4.0,24.68,-864,0
18,1,3.0,23,3,64,5.0,0.0,4.0,24.68,0,0
19,5,3.0,17,3,88,11.0,1.0,3.0,79.37,-864,1
20,2,3.0,17,3,54,3.0,0.0,8.0,24.68,-99,0
21,1,3.0,27,3,64,16.0,0.0,8.0,58.03,-864,0
22,2,3.5,41,3,611,25.0,2.0,19.0,78.4,-864,0
23,1,4.5,22,3,54,0.0,3.0,0.0,73.11,-864,0
24,6,3.5,514,3,607,0.0,3.0,0.0,89.7,-864,1
25,3,3.5,514,3,607,6.0,0.0,12.0,36.6,-146,0
26,2,3.5,179,3,422,25.0,1.0,4.0,77.63,-864,0
27,1,3.5,416,3,64,0.0,0.0,0.0,86.9,-864,0
28,2,4.0,85,3,611,0.0,0.0,1.0,78.43,-864,0
29,2,3.5,9,2,124,2.0,0.0,3.0,43.13,-864,0
30,5,3.5,110,3,607,12.0,0.0,10.0,31.14,-864,1
31,11,3.5,333,3,603,9.0,0.0,3.0,83.04,-864,1
32,9,3.5,821,3,607,1.0,0.0,6.0,26.08,-864,1
33,1,3.5,3144,3,422,16.0,2.0,9.0,51.16,-864,0
34,1,3.5,365,3,64,27.0,0.0,11.0,40.82,-864,0
35,4,3.5,149,3,29,10.0,0.0,8.0,72.27,-864,0
36,2,3.5,451,3,54,0.0,5.0,0.0,74.96,-864,0
37,5,3.5,456,2,54,0.0,0.0,0.0,89.7,-864,1
38,4,3.0,43,3,614,3.0,1.0,5.0,39.36,-864,0
39,3,2.5,79,3,124,13.0,0.0,7.0,31.17,-864,0
40,9,4.0,429,3,650,0.0,0.0,5.0,24.68,-864,1
41,4,3.5,124,3,607,11.0,1.0,6.0,74.72,-864,0
42,0,4.0,26,2,611,0.0,0.0,1.0,58.31,-864,0
43,2,3.5,90,3,624,16.0,0.0,8.0,55.28,-864,0
44,1,3.0,1,2,422,18.0,0.0,5.0,31.73,-864,0
45,3,4.0,1460,5,107,21.0,0.0,7.0,77.48,-864,0
46,4,4.0,182,3,64,3.0,0.0,0.0,87.74,-864,0
47,6,3.5,273,4,107,20.0,1.0,1.0,82.62,-864,1
48,3,3.0,70,3,124,5.0,0.0,4.0,60.48,-864,0
49,7,3.5,141,4,82,11.0,0.0,6.0,44.1,-864,1
50,1,4.0,263,3,54,12.0,0.0,14.0,66.91,-864,0
51,6,4.0,247,2,603,20.0,0.0,0.0,84.94,-864,1
52,4,3.5,145,3,607,11.0,0.0,6.0,54.07,-864,0
53,2,4.5,37,2,422,0.0,0.0,1.0,77.93,-864,0
54,5,3.5,143,3,607,6.0,1.0,0.0,79.37,-864,1
55,0,3.5,76,2,64,15.0,0.0,0.0,80.41,-864,0
56,2,3.0,103,2,88,34.0,2.0,10.0,72.53,-864,0
57,1,2.5,21,3,611,5.0,0.0,4.0,77.63,-864,0
58,6,3.0,151,3,88,6.0,0.0,5.0,66.13,-864,1
59,1,2.0,10,3,121,6.0,2.0,4.0,56.01,-864,0
60,4,2.0,10,3,29,3.0,0.0,11.0,27.74,-39,0
61,1,1.5,27,3,611,1.0,1.0,2.0,55.11,-864,0
62,2,3.5,132,3,124,0.0,0.0,1.0,74.96,-864,0
63,3,3.5,132,3,607,5.0,0.0,8.0,31.17,-132,0
64,6,3.5,90,3,607,6.0,1.0,0.0,79.37,-864,1
65,5,3.5,83,3,624,1.0,0.0,4.0,38.83,-864,1
66,1,3.5,531,3,611,1.0,1.0,1.0,74.72,-864,0
67,5,2.5,11,3,88,2.0,0.0,6.0,55.11,-864,1
68,7,3.5,261,3,650,0.0,0.0,5.0,24.68,-864,1
69,5,4.0,17,2,607,5.0,0.0,6.0,60.48,-864,1
70,5,3.5,256,4,107,0.0,0.0,0.0,80.41,-864,1
71,3,4.0,61,4,107,18.0,0.0,1.0,70.78,-864,0
72,11,3.5,315,4,624,5.0,0.0,4.0,58.03,-864,1
73,1,3.5,134,3,611,6.0,0.0,1.0,78.43,-864,0
74,5,3.5,488,3,64,22.0,0.0,5.0,77.66,-864,1
75,4,2.0,8,3,88,11.0,0.0,5.0,58.47,-864,0
76,4,4.0,47,3,64,0.0,0.0,1.0,82.83,-864,0
77,2,2.5,9,3,607,2.0,0.0,0.0,84.94,-864,0
78,6,3.5,21,2,607,13.0,0.0,9.0,31.14,-864,1
79,6,3.0,10,2,64,7.0,0.0,6.0,31.17,-864,1
80,2,3.5,700,3,64,27.0,0.0,11.0,40.82,-864,0
81,2,3.0,28,2,64,8.0,0.0,0.0,86.82,-864,0
82,6,3.5,191,3,607,6.0,0.0,12.0,36.6,-864,1
83,2,3.5,681,3,19,15.0,0.0,11.0,38.51,-864,0
84,1,3.0,34,3,64,9.0,0.0,12.0,29.8,-864,0
85,3,3.0,36,4,124,9.0,0.0,0.0,87.74,-864,0
