doh_id,insp_rpt,name,address,phone_num,yelp_id,lat,lon,insp_date,insp_timein,insp_type,crit_viol,non_crit_viol,crit_viol_cos,crit_viol_rpt,non_crit_viol_cos,non_crit_viol_rpt,crit_viol_tbr,non_crit_viol_tbr,yelp_cat,yelp_rating,yelp_reviews,risk,insp_name,insp_badge,license_number,crime_count,311_count,construction_count,avg_high_temp
602,201823,GRANVILLE MOORE'S ,"1238 H ST NE WASHINGTON, DC 20002",2023992546,granville-moores-washington,38.90042,-76.9889287,2014-02-19,19:25:00,Routine,5,3,2,0,0,0,3,3,"[[American (New), newamerican], [Belgian, belgian], [Gastropubs, gastropubs]]",4.0,848,3,Carolene Bailey,107,931367004101,7,0,10,42.2
602,824433,GRANVILLE MOORE'S ,"1238 H ST NE WASHINGTON, DC 20002",2023992546,granville-moores-washington,38.90042,-76.9889287,2016-05-06,17:15:00,Routine,5,3,3,0,0,0,2,3,"[[American (New), newamerican], [Belgian, belgian], [Gastropubs, gastropubs]]",4.0,848,3,Alice Jackson,54,931367004101,13,2,5,80.41
611,183277,EDDIE'S CARRYOUT,"1251 BLADENSBURG RD NE Washington, DC 20002",2023991725,eddies-washington,38.9069953,-76.9785495,2013-06-19,12:10:00,Routine,5,3,0,0,0,0,5,3,"[[American (Traditional), tradamerican], [Chinese, chinese]]",3.5,20,3,Carolene Bailey,107,931367000761,8,0,2,73.65
611,199193,EDDIE'S CARRYOUT,"1251 BLADENSBURG RD NE Washington, DC 20002",2023991725,eddies-washington,38.9069953,-76.9785495,2013-10-03,11:25:00,Routine,2,1,1,1,0,1,1,1,"[[American (Traditional), tradamerican], [Chinese, chinese]]",3.5,20,3,FANG,611,931367000761,10,0,5,78.92
611,606782,EDDIE'S CARRYOUT,"1251 BLADENSBURG RD NE Washington, DC 20002",2023991725,eddies-washington,38.9069953,-76.9785495,2014-12-30,13:59:00,Routine,3,2,2,1,0,2,1,2,"[[American (Traditional), tradamerican], [Chinese, chinese]]",3.5,20,3,FANG,611,931367000761,8,0,3,37.31
623,201486,FIVE GUYS BURGERS & FRIES,"1300 2ND ST NE WASHINGTON, DC 20002",2024081635,five-guys-burgers-and-fries-washington,38.9078933,-77.0037997,2014-02-05,12:00:00,Routine,4,2,4,0,0,0,0,2,"[[Burgers, burgers], [Fast Food, hotdogs]]",3.5,41,3,Laura Wildey,89,931368006641,4,0,13,35.49
623,810760,FIVE GUYS BURGERS & FRIES,"1300 2ND ST NE WASHINGTON, DC 20002",2024081635,five-guys-burgers-and-fries-washington,38.9078933,-77.0037997,2015-05-28,12:00:00,Routine,2,1,1,0,0,0,1,1,"[[Burgers, burgers], [Fast Food, hotdogs]]",3.5,41,3,Victoria Fletcher,87,931368006641,15,0,13,76.74
716,404156,ARGONAUT ,"1433 H ST NE Washington, DC 20002",2022503660,argonaut-tavern-washington,38.9000346,-76.9842579,2014-09-12,11:45:00,Routine,2,1,2,0,1,0,0,0,"[[Bars, bars], [American (Traditional), tradamerican]]",3.5,372,2,JEMAL YASIN,26,930065004245,20,0,6,80.77
716,824849,ARGONAUT ,"1433 H ST NE Washington, DC 20002",2022503660,argonaut-tavern-washington,38.9000346,-76.9842579,2016-05-20,17:30:00,Routine,0,3,0,0,2,0,0,1,"[[Bars, bars], [American (Traditional), tradamerican]]",3.5,372,2,Alice Jackson,54,930065004245,18,0,2,84.14
725,183118,CHINA WOK,"1508 BENNING RD NE Washington, DC 20002",2023880348,china-wok-washington,38.9001692,-76.983102,2013-06-12,10:44:00,Routine,10,6,3,0,0,0,7,6,"[[Chinese, chinese]]",3.0,7,2,Ivory Gene Cooper / Temesgen Jemaneh,650,931369001875,18,0,2,90.67
