OBJECTID,LICENSE,TRADE_NAME,APPLICANT,CLASS,ENDORSEMENTS,ADDRESS,ADDRID,X,Y,DESCRIPTIO,STATUS,TYPE
2001,ABRA-060547,Zula Restaurant,Daniel Woldai,C,,1933 9TH STREET NW,302027,397940.12,138752.83,Restaurant,Safekeeping,Restaurant
2002,ABRA-025268,Leopold's Kafe Konditorei/L2,"Cady's Alley Restaurant Concepts, LLC",C,,,302277,394217.2615,137442.451,Restaurant,Active,Restaurant
2003,ABRA-091449,Rock Creek Market,"A & M, Inc.",B,,,285338,398163.7165,141000.3098,Retail - Class B,Active,Retail - Class B
2004,ABRA-092277,Tinto-405.1,"Eclectico Concepts, LLC-405.1  IN FILE ROOM",C,,,,397162.0283,140773.1497,Tavern,405.1 New Const,Tavern
2005,ABRA-072783,Sticky Rice,"Bee Hive, LLC",C,,,70873,400927.2609,136951.19,Restaurant,Active,Restaurant
2006,ABRA-098864,The Gallaudet Pavilion,The HR-57 Foundation,C,,5TH STREET NE AND PENN STREET NE,,400258.410014,138033.710014,Tavern,Active,Tavern
2007,ABRA-093123,Luke's Lobster,Lukes Lobster IV LLC,C,,624 E STREET NW,301058,398140.85,136457.92,Restaurant,ACTIVE,Restaurant
2008,ABRA-007235-3,Miss Mallory,Potomac Riverboat Company,C,,,,,,Marine Vessel,Active,Marine Vessel
2009,ABRA-020455,Nina's Dandy,"Potomac Party Cruises, Inc.",C,,,,,,Marine Vessel,Active,Marine Vessel
2010,ABRA-007235-2,Cherry Blossom,Potomac Riverboat Company,C,,,,,,Marine Vessel,Active,Marine Vessel
2011,ABRA-007235,,Potomac Riverboat Company,C,,,,,,Marine Vessel,Active,Marine Vessel
2012,ABRA-091955,TO BE DETERMINED(M kIVITZ),"Hopeful, Inc.",C,,2006 18TH STREET NW,235546,396368.08,138822.56,Restaurant,Safekeeping,Restaurant
1085,ABRA-094766,Masala Art,"Rudrakalash, LLC",C,,1101 4TH STREET SW,307156,398425.11,134419.16,Restaurant,Active,Restaurant
1086,ABRA-082973,Masala Art,"Rudraaksh, LLC",C,,4441 WISCONSIN AVENUE NW,284919,393144.68,142199.53,Restaurant,Active,Restaurant
1087,ABRA-079644,Mason Inn,"2408 Wisconsin Avenue, LLC",C,,2408 WISCONSIN AVENUE NW,289356,393718.68,139276.33,Tavern,Active,Tavern
1088,ABRA-071707,Mass Avenue & Mini Market,"Mass. Avenue Deli, Inc.",B,,4000 MASSACHUSETTS AVENUE NW,223988,393172.37,140382.97,Retail - Grocery,Active,Retail - Grocery
1089,ABRA-098505,Masseria,CREATIVE  CONSOLIDATION   LLC,C,,1340 4TH STREET NE,286080,400068.48,137982.15,Restaurant,Active,Restaurant
1090,ABRA-074594,Master Liquors,"18th & D Liquors, Inc.",A,,1806 D STREET NE,150136,401853.39,136347.14,Retail - Liquor Store,Active,Retail - Liquor Store
1091,ABRA-096192,Mastro's Steakhouse,"Mastro's Restaurant, LLC",C,,600 13TH STREET NW,240664,397408.94,136666.04,Restaurant,Active,Restaurant
