X,Y,OBJECTID,BBL_LICENSE_FACT_ID,LICENSESTATUS,LICENSECATEGORY,CUST_NUM,TRADE_NAME,LICENSE_START_DATE,LICENSE_EXPIRATION_DATE,LICENSE_ISSUE_DATE,AGENT_PHONE,LASTMODIFIEDDATE,CITY,STATE,SITEADDRESS,LATITUDE,LONGITUDE,XCOORD,YCOORD,ZIPCODE,MARADDRESSREPOSITORYID,DCSTATADDRESSKEY,DCSTATLOCATIONKEY,WARD,ANC,SMD,DISTRICT,PSA,NEIGHBORHOODCLUSTER,HOTSPOT2006NAME,HOTSPOT2005NAME,HOTSPOT2004NAME,BUSINESSIMPROVEMENTDISTRICT
-77.020288484199995,38.881481099699997,1961,292275,ACTIVE,General Business Licenses,400316902798,"NEONFIVE, LLC; Julie Saunders",2016-03-01T00:00:00.000Z,2018-02-28T00:00:00.000Z,2016-03-23T00:00:00.000Z,202-750-7131,2016-03-25T06:45:39.000Z,WASHINGTON,DC,603 G STREET SW,38.881474,-77.020286,398239.84,134848.89,20024,5510,4290,4290,6,6D,6D01,FIRST,105,9,NONE,NONE,NONE,NONE
-76.923512190799997,38.891658102,2347,270988,ACTIVE,One Family Rental,500514902799,"Clarence Chambers; Clarence K. Chambers",2016-05-01T00:00:00.000Z,2018-04-30T00:00:00.000Z,2016-03-10T00:00:00.000Z,202-462-7200,2016-03-14T06:45:52.000Z,WASHINGTON,DC,5408 BLAINE STREET NE,38.891651,-76.92351,406635.82,135981.2,20019,9323,5420,5420,7,7C,7C02,SIXTH,608,31,NONE,NONE,NONE,NONE
-77.021063380900003,38.8859695712,1999,238633,READY TO BATCH PRINT,Restaurant,39502816,VIE DE FRANCE YAMAZAKI INC.,2016-05-01T00:00:00.000Z,2018-04-30T00:00:00.000Z,2016-04-05T00:00:00.000Z,2025723100,2016-04-07T06:45:31.000Z,WASHINGTON,DC,600 MARYLAND AVENUE SW,38.885962,-77.021061,398172.72,135347.16,20024,5831,5029,5029,6,6D,6D01,FIRST,105,9,NONE,NONE,NONE,NONE
-76.997708401699995,38.885681918899998,2027,270446,ACTIVE,Charitable Solicitation,400214000229,ARMS,2016-05-01T00:00:00.000Z,2018-04-30T00:00:00.000Z,2016-04-01T00:00:00.000Z,8005506724,2016-04-04T06:45:44.000Z,WASHINGTON,DC,600 PENNSYLVANIA AVENUE SE,38.885674,-76.997706,400199.02,135315.02,20003,5839,5035,5035,6,6B,6B02,FIRST,107,26,NONE,NONE,NONE,CAPITOL HILL BID
-76.997708401699995,38.885681918899998,2028,270827,ACTIVE,General Business Licenses,400314902740,"Evans & Katz; Diane Evans",2016-05-01T00:00:00.000Z,2018-04-30T00:00:00.000Z,2016-04-01T00:00:00.000Z,202-548-0880,2016-04-04T06:45:44.000Z,WASHINGTON,DC,600 PENNSYLVANIA AVENUE SE,38.885674,-76.997706,400199.02,135315.02,20003,5839,5035,5035,6,6B,6B02,FIRST,107,26,NONE,NONE,NONE,CAPITOL HILL BID
-76.998089939300002,38.888834588800002,2074,168540,ACTIVE,Two Family Rental,68000688,YARMOUTH MANAGEMENT,2016-02-01T00:00:00.000Z,2018-01-31T00:00:00.000Z,2016-03-16T00:00:00.000Z,2025473511,2016-03-18T06:45:40.000Z,WASHINGTON,DC,602 A STREET SE,38.888827,-76.998088,400165.91,135664.99,20003,5639,4465,4465,6,6B,6B02,FIRST,107,26,NONE,NONE,NONE,NONE
-76.920819600399994,38.8852485556,2115,238274,CANCELLED,One Family Rental,66002983,,2014-05-01T00:00:00.000Z,2016-04-30T00:00:00.000Z,2016-03-24T00:00:00.000Z,2025828072,2016-03-28T06:45:33.000Z,WASHINGTON,DC,5531 B STREET SE,38.885241,-76.920817,406870.03,135269.89,20019,7913,4590,4590,7,7E,7E06,SIXTH,604,33,NONE,NONE,NONE,NONE
-76.921585989600004,38.884270311199998,2159,167268,ACTIVE,One Family Rental,70102826,PATRICIA T. ROGERS,2016-04-01T00:00:00.000Z,2018-03-31T00:00:00.000Z,2016-03-17T00:00:00.000Z,2028890463,2016-03-21T06:45:39.000Z,WASHINGTON,DC,5518 C STREET SE,38.884263,-76.921584,406803.63,135161.24,20019,8169,4777,4777,7,7E,7E06,SIXTH,604,33,NONE,NONE,NONE,NONE
-77.004670387800005,38.959720258399997,2173,272054,READY TO RENEW,Apartment,500114000536,2ND E&G DC COOP LLC,2014-06-01T00:00:00.000Z,2016-05-31T00:00:00.000Z,2016-03-11T00:00:00.000Z,,2016-03-14T06:45:51.000Z,WASHINGTON,DC,5756 2ND STREET NE,38.959713,-77.004668,399595.41,143533.91,20011,6671,4813,4813,4,4B,4B08,FOURTH,406,19,NONE,NONE,NONE,NONE
-77.003539903100005,38.959605803099997,2182,242307,READY TO RENEW,One Family Rental,66004248,,2014-06-01T00:00:00.000Z,2016-05-31T00:00:00.000Z,2016-03-10T00:00:00.000Z,,2016-03-14T06:45:52.000Z,WASHINGTON,DC,5724 CHILLUM PLACE NE,38.959598,-77.003538,399693.39,143521.2,20011,6691,4817,4817,4,4B,4B08,FOURTH,406,19,NONE,NONE,NONE,NONE
