date,dewPoint,humidity,maxTemp,minTemp,precipType
2013-05-01,40.43,0.48,68.0,56.29,rain
2013-05-02,44.36,0.6,64.0,54.04,rain
2013-05-03,44.47,0.56,70.0,53.5,rain
2013-05-04,36.97,0.42,77.0,54.0,rain
2013-05-05,26.68,0.27,79.0,54.04,rain
2013-05-06,27.15,0.24,81.0,53.85,rain
2013-05-07,38.59,0.4,72.0,56.56,rain
2013-05-08,45.24,0.55,73.32,55.0,rain
2013-05-09,42.78,0.46,72.0,57.0,rain
2013-05-10,37.78,0.36,82.1,50.79,rain
2013-05-11,29.65,0.21,81.1,63.81,rain
2013-05-12,34.41,0.27,78.79,63.06,rain
2013-05-13,40.47,0.4,75.0,59.0,rain
2013-05-14,39.91,0.46,79.0,52.7,rain
2013-05-15,39.76,0.39,78.45,55.13,rain
2013-05-16,42.07,0.41,80.99,59.0,rain
2013-05-17,33.13,0.25,86.0,59.53,rain
2013-05-18,34.06,0.23,86.0,58.62,rain
2013-05-19,33.96,0.24,89.64,60.56,rain
2013-05-20,32.08,0.21,90.0,62.34,rain
2013-05-21,30.58,0.2,88.57,64.27,rain
2013-05-22,23.43,0.17,86.38,66.58,rain
2013-05-23,30.29,0.2,82.16,66.96,rain
2013-05-24,37.3,0.27,82.63,66.51,rain
2013-05-25,33.9,0.23,86.69,65.49,rain
2013-05-26,41.78,0.43,73.25,59.0,rain
2013-05-27,50.55,0.73,68.0,55.0,rain
2013-05-28,48.81,0.82,57.25,52.0,rain
2013-05-29,47.7,0.65,68.0,53.42,rain
2013-05-30,48.8,0.57,77.79,51.4,rain
2013-05-31,47.75,0.44,85.8,56.2,rain
2013-06-01,37.0,0.25,93.0,59.68,rain
2013-06-02,40.08,0.27,91.52,64.2,rain
2013-06-03,31.5,0.17,92.25,70.19,rain
2013-06-04,31.68,0.17,91.47,70.42,rain
2013-06-05,31.72,0.18,91.63,68.02,rain
2013-06-06,26.47,0.15,89.65,72.36,rain
2013-06-07,36.0,0.26,86.0,62.44,rain
2013-06-08,42.24,0.33,82.97,64.12,rain
2013-06-09,40.22,0.28,86.05,65.59,rain
2013-06-10,40.83,0.26,91.78,63.33,rain
2013-06-11,42.84,0.26,96.92,67.0,rain
2013-06-12,41.13,0.23,93.93,73.03,rain
2013-06-13,41.46,0.26,90.0,72.0,rain
2013-06-14,49.34,0.55,77.0,61.58,rain
2013-06-15,49.81,0.57,72.0,59.89,rain
2013-06-16,50.99,0.7,69.05,55.0,rain
2013-06-17,45.85,0.52,76.32,54.0,rain
2013-06-18,48.81,0.53,77.82,59.13,rain
2013-06-19,46.67,0.47,83.07,57.0,rain
2013-06-20,47.09,0.4,87.11,61.0,rain
2013-06-21,45.12,0.32,90.11,63.38,rain
2013-06-22,42.69,0.27,92.17,69.95,rain
2013-06-23,40.02,0.24,93.76,70.21,rain
2013-06-24,35.26,0.18,95.0,71.17,rain
2013-06-25,37.87,0.21,95.67,66.25,rain
2013-06-26,39.96,0.21,97.14,69.59,rain
2013-06-27,38.38,0.2,96.32,75.09,rain
2013-06-28,36.57,0.21,89.24,73.0,rain
2013-06-29,41.3,0.31,86.0,64.39,rain
2013-06-30,49.93,0.48,81.92,61.0,rain
2013-07-01,50.44,0.49,81.0,65.85,rain
2013-07-02,54.38,0.57,79.13,61.87,rain
2013-07-03,48.93,0.4,88.92,62.45,rain
2013-07-04,47.18,0.31,94.09,68.21,rain
2013-07-05,42.62,0.24,97.0,73.47,rain
2013-07-06,43.54,0.25,95.0,74.59,rain
2013-07-07,47.21,0.37,86.45,72.0,rain
2013-07-08,42.84,0.37,86.0,64.87,rain
2013-07-09,48.93,0.5,77.33,62.25,rain
2013-07-10,52.28,0.65,73.0,60.9,rain
2013-07-11,52.1,0.62,75.0,59.0,rain
2013-07-12,48.51,0.45,84.0,62.15,rain
2013-07-13,45.81,0.35,90.23,61.99,rain
2013-07-14,46.66,0.32,93.0,67.05,rain
2013-07-15,45.79,0.34,88.0,68.8,rain
2013-07-16,37.45,0.23,91.33,67.86,rain
2013-07-17,43.59,0.28,89.16,68.82,rain
2013-07-18,42.81,0.27,93.79,67.07,rain
2013-07-19,42.36,0.26,90.58,73.79,rain
2013-07-20,48.07,0.32,90.81,71.49,rain
2013-07-21,48.61,0.32,93.72,71.52,rain
2013-07-22,54.29,0.52,79.0,69.4,rain
2013-07-23,48.88,0.44,87.06,63.49,rain
2013-07-24,32.7,0.19,90.0,69.68,rain
2013-07-25,41.01,0.27,89.76,66.49,rain
2013-07-26,45.2,0.32,88.67,64.75,rain
2013-07-27,45.88,0.3,93.7,67.23,rain
2013-07-28,46.19,0.28,99.59,67.79,rain
2013-07-29,44.96,0.25,100.05,67.8,rain
2013-07-30,41.73,0.22,100.51,69.19,rain
2013-07-31,44.76,0.24,100.0,71.24,rain
2013-08-01,46.58,0.24,99.0,75.78,rain
2013-08-02,44.9,0.22,97.88,76.11,rain
2013-08-03,45.56,0.23,93.0,80.73,rain
2013-08-04,39.52,0.18,99.0,81.23,rain
2013-08-05,44.47,0.24,93.0,78.48,rain
2013-08-06,47.92,0.28,96.84,73.63,rain
2013-08-07,44.22,0.25,97.92,70.94,rain
2013-08-08,44.17,0.25,95.0,75.64,rain
2013-08-09,47.12,0.29,91.0,73.02,rain
2013-08-10,48.77,0.3,91.0,74.88,rain
2013-08-11,48.01,0.29,90.0,76.13,rain
2013-08-12,47.65,0.29,91.0,74.26,rain
2013-08-13,42.38,0.33,82.0,68.0,rain
2013-08-14,44.46,0.36,82.0,67.38,rain
2013-08-15,48.72,0.43,84.15,59.99,rain
2013-08-16,49.17,0.44,80.75,66.0,rain
2013-08-17,55.98,0.66,74.74,63.0,rain
2013-08-18,55.16,0.58,82.69,63.0,rain
2013-08-19,56.84,0.68,75.66,63.0,rain
2013-08-20,56.37,0.68,75.28,63.0,rain
2013-08-21,57.09,0.69,74.38,64.0,rain
2013-08-22,55.22,0.55,82.0,65.85,rain
2013-08-23,53.89,0.45,87.06,68.18,rain
2013-08-24,50.11,0.39,89.35,70.56,rain
2013-08-25,36.74,0.25,90.0,71.5,rain
2013-08-26,29.35,0.2,88.0,65.04,rain
2013-08-27,37.52,0.27,88.42,58.98,rain
2013-08-28,41.48,0.29,88.75,64.14,rain
2013-08-29,43.51,0.29,88.0,68.36,rain
2013-08-30,38.27,0.24,88.0,71.76,rain
2013-08-31,25.87,0.16,88.13,68.58,rain
2013-09-01,41.12,0.33,79.0,66.46,rain
2013-09-02,44.25,0.36,81.62,65.4,rain
2013-09-03,46.43,0.41,81.0,64.0,rain
2013-09-04,46.61,0.44,79.0,63.55,rain
2013-09-05,45.83,0.4,82.0,62.91,rain
2013-09-06,45.65,0.42,82.07,61.96,rain
2013-09-07,45.9,0.4,84.0,59.12,rain
2013-09-08,42.92,0.35,86.0,58.52,rain
2013-09-09,42.08,0.32,87.53,59.91,rain
2013-09-10,41.49,0.31,88.0,61.87,rain
2013-09-11,40.5,0.29,89.67,60.7,rain
2013-09-12,37.42,0.25,91.53,60.02,rain
2013-09-13,38.09,0.24,88.0,70.76,rain
2013-09-14,41.5,0.34,82.0,64.0,rain
2013-09-15,46.58,0.52,75.0,58.99,rain
2013-09-16,43.27,0.53,72.42,54.68,rain
2013-09-17,31.89,0.31,77.0,52.69,rain
2013-09-18,36.83,0.36,77.87,52.42,rain
2013-09-19,40.05,0.37,79.15,54.72,rain
2013-09-20,41.4,0.37,82.36,55.62,rain
2013-09-21,31.07,0.23,87.7,57.31,rain
2013-09-22,34.19,0.28,82.0,56.88,rain
2013-09-23,25.78,0.25,67.84,57.64,rain
2013-09-24,31.21,0.32,71.08,53.6,rain
2013-09-25,33.89,0.34,73.86,53.92,rain
2013-09-26,37.02,0.39,76.22,53.96,rain
2013-09-27,38.97,0.39,78.83,54.43,rain
2013-09-28,40.81,0.39,80.37,54.61,rain
2013-09-29,37.35,0.35,79.0,54.31,rain
2013-09-30,34.89,0.31,78.51,54.78,rain
2013-10-01,35.9,0.32,79.47,54.44,rain
2013-10-02,32.85,0.28,81.16,55.8,rain
2013-10-03,34.0,0.3,81.92,52.91,rain
2013-10-04,31.23,0.28,84.47,52.39,rain
2013-10-05,24.94,0.2,85.21,55.87,rain
2013-10-06,28.49,0.24,84.0,53.03,rain
2013-10-07,30.03,0.26,82.62,53.77,rain
2013-10-08,29.32,0.24,86.63,53.2,rain
2013-10-09,30.9,0.27,82.91,52.67,rain
2013-10-10,32.86,0.28,81.01,54.4,rain
2013-10-11,25.69,0.23,81.63,54.49,rain
2013-10-12,26.37,0.26,70.61,56.11,rain
2013-10-13,33.19,0.39,66.76,50.71,rain
2013-10-14,29.62,0.34,64.79,53.92,rain
2013-10-15,29.47,0.36,68.78,45.98,rain
2013-10-16,30.42,0.36,70.46,45.09,rain
2013-10-17,26.28,0.31,67.36,47.09,rain
2013-10-18,28.5,0.33,68.32,48.92,rain
2013-10-19,28.59,0.36,68.91,43.3,rain
2013-10-20,28.89,0.37,69.99,41.48,rain
2013-10-21,27.65,0.35,70.15,41.78,rain
2013-10-22,25.26,0.33,70.0,40.25,rain
2013-10-23,23.32,0.31,69.09,40.24,rain
2013-10-24,28.66,0.36,70.93,41.76,rain
2013-10-25,24.03,0.31,70.32,40.23,rain
2013-10-26,21.27,0.3,66.07,39.16,rain
2013-10-27,22.43,0.31,64.7,42.1,rain
2013-10-28,23.62,0.33,63.78,42.71,rain
2013-10-29,28.04,0.46,59.13,39.29,rain
2013-10-30,27.92,0.47,58.98,36.13,rain
