date,dewPoint,3-day_avg_dewPoint,humidity,3-day_avg_humidity,maxTemp,3-day_avg_maxTemp,minTemp,3-day_avg_minTemp,precipType
2013-05-01,40.43,,0.48,,68,,56.29,,rain
2013-05-02,44.36,,0.6,,64,,54.04,,rain
2013-05-03,44.47,,0.56,,70,,53.5,,rain
2013-05-04,36.97,42.66,0.42,0.54,77,66.66,54,54.06,rain
2013-05-05,26.68,41.51,0.27,0.52,79,69.63,54.04,53.31,rain
2013-05-06,27.15,35.68,0.24,0.41,81,74.58,53.85,53.31,rain
2013-05-07,38.59,29.96,0.4,0.31,72,78.21,56.56,53.42,rain
2013-05-08,45.24,30.5,0.55,0.3,73.32,76.56,55,54.27,rain
2013-05-09,42.78,36.62,0.46,0.39,72,74.69,57,54.59,rain
2013-05-10,37.78,41.78,0.36,0.47,82.1,71.72,50.79,55.62,rain
2013-05-11,29.65,41.51,0.21,0.45,81.1,75.05,63.81,53.72,rain
2013-05-12,34.41,36.37,0.27,0.34,78.79,77.62,63.06,56.63,rain
2013-05-13,40.47,33.61,0.4,0.28,75,79.86,59,58.63,rain
2013-05-14,39.91,34.49,0.46,0.29,79,77.51,52.7,61.34,rain
2013-05-15,39.76,37.88,0.39,0.37,78.45,76.82,55.13,57.67,rain
2013-05-16,42.07,39.65,0.41,0.41,80.99,76.71,59,55.05,rain
2013-05-17,33.13,40.17,0.25,0.42,86,78.69,59.53,55.05,rain
2013-05-18,34.06,37.94,0.23,0.35,86,81,58.62,57.31,rain
2013-05-19,33.96,36.06,0.24,0.29,89.64,83.49,60.56,58.46,rain
2013-05-20,32.08,33.38,0.21,0.24,90,86.34,62.34,58.97,rain
2013-05-21,30.58,33.03,0.2,0.22,88.57,87.66,64.27,59.9,rain
2013-05-22,23.43,31.88,0.17,0.21,86.38,88.51,66.58,61.77,rain
2013-05-23,30.29,28.41,0.2,0.19,82.16,87.43,66.96,63.75,rain
2013-05-24,37.3,27.82,0.27,0.19,82.63,84.85,66.51,65.28,rain
2013-05-25,33.9,30.04,0.23,0.21,86.69,82.89,65.49,66.02,rain
2013-05-26,41.78,33.49,0.43,0.23,73.25,82.99,59,65.66,rain
2013-05-27,50.55,37.28,0.73,0.31,68,80.05,55,63.03,rain
2013-05-28,48.81,41.66,0.82,0.46,57.25,75.22,52,59.23,rain
2013-05-29,47.7,46.58,0.65,0.65,68,65.51,53.42,54.78,rain
2013-05-30,48.8,48.53,0.57,0.73,77.79,63.77,51.4,52.94,rain
2013-05-31,47.75,47.95,0.44,0.67,85.8,67,56.2,51.75,rain
2013-06-01,37,47.6,0.25,0.55,93,76.42,59.68,53.14,rain
2013-06-02,40.08,44.07,0.27,0.42,91.52,84.67,64.2,55.2,rain
2013-06-03,31.5,41.19,0.17,0.32,92.25,89.21,70.19,59.43,rain
2013-06-04,31.68,35.83,0.17,0.23,91.47,91.33,70.42,64.04,rain
2013-06-05,31.72,34.08,0.18,0.2,91.63,90.83,68.02,67.59,rain
2013-06-06,26.47,31.32,0.15,0.17,89.65,90.87,72.36,68.85,rain
2013-06-07,36,29.66,0.26,0.17,86,90.01,62.44,69.56,rain
2013-06-08,42.24,31.08,0.33,0.19,82.97,88.2,64.12,66.93,rain
2013-06-09,40.22,34.55,0.28,0.24,86.05,85.34,65.59,65.64,rain
2013-06-10,40.83,39.09,0.26,0.29,91.78,84.16,63.33,63.41,rain
2013-06-11,42.84,40.69,0.26,0.29,96.92,86.06,67,63.7,rain
2013-06-12,41.13,40.88,0.23,0.26,93.93,90.67,73.03,64.65,rain
2013-06-13,41.46,41.18,0.26,0.25,90,93.27,72,67.11,rain
2013-06-14,49.34,41.39,0.55,0.25,77,92.68,61.58,69.97,rain
2013-06-15,49.81,43.54,0.57,0.34,72,86.11,59.89,68.18,rain
2013-06-16,50.99,46.4,0.7,0.46,69.05,78.87,55,63.85,rain
2013-06-17,45.85,49.55,0.52,0.6,76.32,71.96,54,58.24,rain
2013-06-18,48.81,48.39,0.53,0.59,77.82,71.73,59.13,55.73,rain
2013-06-19,46.67,48.06,0.47,0.58,83.07,73.65,57,55.48,rain
2013-06-20,47.09,46.64,0.4,0.5,87.11,78.28,61,56.14,rain
2013-06-21,45.12,47.05,0.32,0.46,90.11,81.84,63.38,58.45,rain
2013-06-22,42.69,45.83,0.27,0.39,92.17,85.9,69.95,59.86,rain
2013-06-23,40.02,44.52,0.24,0.33,93.76,88.9,70.21,64.13,rain
2013-06-24,35.26,42.18,0.18,0.27,95,91.09,71.17,67.17,rain
2013-06-25,37.87,38.93,0.21,0.23,95.67,92.71,66.25,69.74,rain
2013-06-26,39.96,37.34,0.21,0.21,97.14,93.86,69.59,68.52,rain
2013-06-27,38.38,37.32,0.2,0.2,96.32,94.98,75.09,68.31,rain
2013-06-28,36.57,38.35,0.21,0.2,89.24,95.41,73,69.61,rain
2013-06-29,41.3,37.92,0.31,0.2,86,93.29,64.39,71.83,rain
2013-06-30,49.93,38.36,0.48,0.24,81.92,89.61,61,70.12,rain
2013-07-01,50.44,42.17,0.49,0.33,81,84.86,65.85,65.47,rain
2013-07-02,54.38,46.75,0.57,0.42,79.13,82.14,61.87,63.11,rain
2013-07-03,48.93,51.07,0.4,0.51,88.92,79.88,62.45,62.28,rain
2013-07-04,47.18,50.74,0.31,0.48,94.09,82.19,68.21,62.76,rain
2013-07-05,42.62,49.66,0.24,0.42,97,86.51,73.47,63.53,rain
2013-07-06,43.54,45.78,0.25,0.31,95,92.4,74.59,67.36,rain
2013-07-07,47.21,44,0.37,0.26,86.45,94.41,72,71.37,rain
2013-07-08,42.84,44.01,0.37,0.28,86,91.89,64.87,72.62,rain
2013-07-09,48.93,44.08,0.5,0.33,77.33,88.26,62.25,69.78,rain
2013-07-10,52.28,45.86,0.65,0.41,73,82.43,60.9,65.71,rain
2013-07-11,52.1,47.54,0.62,0.5,75,77.99,59,62.05,rain
2013-07-12,48.51,50.59,0.45,0.58,84,74.36,62.15,60.11,rain
2013-07-13,45.81,50.45,0.35,0.57,90.23,76.56,61.99,60.08,rain
2013-07-14,46.66,48.32,0.32,0.47,93,82.25,67.05,60.44,rain
2013-07-15,45.79,46.52,0.34,0.37,88,88.19,68.8,63.09,rain
2013-07-16,37.45,45.63,0.23,0.33,91.33,89.51,67.86,65.29,rain
2013-07-17,43.59,42.87,0.28,0.29,89.16,89.87,68.82,67.22,rain
2013-07-18,42.81,41.85,0.27,0.28,93.79,88.6,67.07,67.81,rain
2013-07-19,42.36,40.87,0.26,0.26,90.58,90.51,73.79,67.24,rain
2013-07-20,48.07,42.49,0.32,0.27,90.81,90.26,71.49,69.19,rain
2013-07-21,48.61,43.97,0.32,0.28,93.72,90.81,71.52,70.08,rain
2013-07-22,54.29,45.88,0.52,0.3,79,90.79,69.4,71.54,rain
2013-07-23,48.88,49.82,0.44,0.38,87.06,86.96,63.49,70.1,rain
2013-07-24,32.7,50.09,0.19,0.42,90,85.73,69.68,67.46,rain
2013-07-25,41.01,44.84,0.27,0.38,89.76,84.5,66.49,66.85,rain
2013-07-26,45.2,40.45,0.32,0.3,88.67,88.05,64.75,65.89,rain
2013-07-27,45.88,39.24,0.3,0.26,93.7,88.58,67.23,66.3,rain
2013-07-28,46.19,43.59,0.28,0.29,99.59,89.8,67.79,65.5,rain
2013-07-29,44.96,45.3,0.25,0.3,100.05,93.05,67.8,65.92,rain
2013-07-30,41.73,45.22,0.22,0.27,100.51,96.8,69.19,66.93,rain
2013-07-31,44.76,43.85,0.24,0.25,100,99.05,71.24,67.58,rain
2013-08-01,46.58,43.38,0.24,0.23,99,99.18,75.78,68.72,rain
2013-08-02,44.9,43.91,0.22,0.23,97.88,98.84,76.11,71.35,rain
2013-08-03,45.56,44.96,0.23,0.23,93,97.97,80.73,73.63,rain
2013-08-04,39.52,45.22,0.18,0.23,99,95.66,81.23,76.76,rain
2013-08-05,44.47,42.89,0.24,0.21,93,95.66,78.48,78.56,rain
2013-08-06,47.92,42.75,0.28,0.21,96.84,94.05,73.63,79.35,rain
2013-08-07,44.22,43.53,0.25,0.23,97.92,95.32,70.94,77,rain
2013-08-08,44.17,45.08,0.25,0.25,95,94.96,75.64,73.61,rain
2013-08-09,47.12,44.98,0.29,0.26,91,95.62,73.02,72.67,rain
2013-08-10,48.77,44.72,0.3,0.26,91,93.69,74.88,72.47,rain
2013-08-11,48.01,46.22,0.29,0.28,90,91.41,76.13,73.77,rain
2013-08-12,47.65,47.49,0.29,0.29,91,89.76,74.26,73.93,rain
2013-08-13,42.38,47.66,0.33,0.29,82,89.76,68,74.34,rain
2013-08-14,44.46,45.55,0.36,0.3,82,86.79,67.38,72.07,rain
2013-08-15,48.72,44.38,0.43,0.32,84.15,84.15,59.99,69.18,rain
2013-08-16,49.17,44.73,0.44,0.37,80.75,81.89,66,64.47,rain
2013-08-17,55.98,46.98,0.66,0.41,74.74,81.48,63,63.81,rain
2013-08-18,55.16,50.78,0.58,0.5,82.69,79.08,63,62.37,rain
2013-08-19,56.84,52.9,0.68,0.55,75.66,78.6,63,63.36,rain
2013-08-20,56.37,55.43,0.68,0.63,75.28,76.92,63,62.37,rain
2013-08-21,57.09,55.56,0.69,0.64,74.38,77.1,64,62.37,rain
2013-08-22,55.22,56.2,0.55,0.68,82,74.36,65.85,62.7,rain
2013-08-23,53.89,55.66,0.45,0.63,87.06,76.45,68.18,63.64,rain
2013-08-24,50.11,54.85,0.39,0.56,89.35,80.34,70.56,65.35,rain
2013-08-25,36.74,52.54,0.25,0.46,90,85.28,71.5,67.51,rain
2013-08-26,29.35,46.44,0.2,0.36,88,87.92,65.04,69.38,rain
2013-08-27,37.52,38.35,0.27,0.28,88.42,88.23,58.98,68.34,rain
2013-08-28,41.48,34.19,0.29,0.24,88.75,87.92,64.14,64.52,rain
2013-08-29,43.51,35.76,0.29,0.25,88,87.51,68.36,62.09,rain
2013-08-30,38.27,40.43,0.24,0.28,88,87.51,71.76,63.19,rain
2013-08-31,25.87,40.68,0.16,0.27,88.13,87.37,68.58,67.41,rain
2013-09-01,41.12,35.52,0.33,0.23,79,87.16,66.46,68.87,rain
2013-09-02,44.25,34.74,0.36,0.24,81.62,84.19,65.4,68.24,rain
2013-09-03,46.43,36.71,0.41,0.28,81,82.09,64,66.15,rain
2013-09-04,46.61,43.49,0.44,0.36,79,79.73,63.55,64.63,rain
2013-09-05,45.83,45.31,0.4,0.4,82,79.73,62.91,63.67,rain
2013-09-06,45.65,45.83,0.42,0.41,82.07,79.86,61.96,62.85,rain
2013-09-07,45.9,45.57,0.4,0.42,84,80.21,59.12,62.18,rain
2013-09-08,42.92,45.34,0.35,0.4,86,81.86,58.52,60.72,rain
2013-09-09,42.08,44.38,0.32,0.39,87.53,83.18,59.91,59.27,rain
2013-09-10,41.49,43.2,0.31,0.35,88,84.98,61.87,58.59,rain
2013-09-11,40.5,41.74,0.29,0.32,89.67,86.3,60.7,59.5,rain
2013-09-12,37.42,40.94,0.25,0.3,91.53,87.52,60.02,60.22,rain
2013-09-13,38.09,39.41,0.24,0.28,88,88.84,70.76,60.25,rain
2013-09-14,41.5,38.28,0.34,0.26,82,88.84,64,63.19,rain
2013-09-15,46.58,38.61,0.52,0.27,75,86.3,58.99,64.28,rain
2013-09-16,43.27,41.64,0.53,0.36,72.42,80.85,54.68,63.94,rain
2013-09-17,31.89,43.35,0.31,0.46,77,75.71,52.69,58.63,rain
2013-09-18,36.83,40.17,0.36,0.45,77.87,74.06,52.42,54.9,rain
2013-09-19,40.05,36.96,0.37,0.4,79.15,75.01,54.72,52.73,rain
2013-09-20,41.4,35.89,0.37,0.34,82.36,77.23,55.62,52.74,rain
2013-09-21,31.07,39.03,0.23,0.36,87.7,79,57.31,53.71,rain
2013-09-22,34.19,37.13,0.28,0.32,82,82.24,56.88,55.32,rain
