permit_id,name,address,category,permit_url,map_url
172655,A  DELI,"1300 2ND ST NE WASHINGTON, DC 20002",Restaurant Total,http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=172655,"http://maps.google.com/maps?q=1300 2ND ST NE WASHINGTON, DC 20002"
6476,A  DELI,"1300 2ND ST NE WASHINGTON, DC 20002",Restaurant Total,http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=6476,"http://maps.google.com/maps?q=1300 2ND ST NE WASHINGTON, DC 20002"
7190,A & D BAR/RESTAURANT-n,"1314 9TH ST NW WASHINGTON, DC 20001",Restaurant Total,http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=7190,"http://maps.google.com/maps?q=1314 9TH ST NW WASHINGTON, DC 20001"
188371,A & S GROCERY,"4748 SHERIFF RD NE Washington, DC 20019",Grocery Store,http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=188371,"http://maps.google.com/maps?q=4748 SHERIFF RD NE Washington, DC 20019"
1040,A & S GROCERY,"4748 SHERIFF RD NE Washington, DC 20019",Grocery Store,http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=1040,"http://maps.google.com/maps?q=4748 SHERIFF RD NE Washington, DC 20019"
5970,A A ENTERPRISES,"3010 RHODE ISLAND AVE NE WASHINGTON, DC 20018",Food Products,http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=5970,"http://maps.google.com/maps?q=3010 RHODE ISLAND AVE NE WASHINGTON, DC 20018"
6764,A BAR (n),"2500 PENNSYLVANIA AVE NW WASHINGTON, DC 20037",Restaurant Total,http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=6764,"http://maps.google.com/maps?q=2500 PENNSYLVANIA AVE NW WASHINGTON, DC 20037"
187417,A BETTER BATCH,"2619 EVARTS ST NE WASHINGTON, DC 20018",Caterer,http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=187417,"http://maps.google.com/maps?q=2619 EVARTS ST NE WASHINGTON, DC 20018"
6994,A BLOOMIN SANDWICH CAFE,"2141 K ST NW Washington, DC 20037",Restaurant Total,http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=6994,"http://maps.google.com/maps?q=2141 K ST NW Washington, DC 20037"
187907,A FAMILY AFFAIR,"2619 EVARTS ST NE WASHINGTON, DC 20018",Caterer,http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=187907,"http://maps.google.com/maps?q=2619 EVARTS ST NE WASHINGTON, DC 20018"
