"permit_id"	"name"	"address"	"category"	"permit_url"	"map_url"	"phone_num"	"YelpID"	"lat"	"lon"
172655	"A  DELI"	"1300 2ND ST NE WASHINGTON, DC 20002"	"Restaurant Total"	"http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=172655"	"http://maps.google.com/maps?q=1300 2ND ST NE WASHINGTON, DC 20002"	2028428045	"a-deli-washington"	38.9078933	-77.0037997
6476	"A  DELI"	"1300 2ND ST NE WASHINGTON, DC 20002"	"Restaurant Total"	"http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=6476"	"http://maps.google.com/maps?q=1300 2ND ST NE WASHINGTON, DC 20002"	2028428045	"a-deli-washington"	38.9078933	-77.0037997
7190	"A & D BAR/RESTAURANT-n"	"1314 9TH ST NW WASHINGTON, DC 20001"	"Restaurant Total"	"http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=7190"	"http://maps.google.com/maps?q=1314 9TH ST NW WASHINGTON, DC 20001"	2022901804	"a-and-d-bar-washington"	38.9077796	-77.0242584
6764	"A BAR "	"2500 PENNSYLVANIA AVE NW WASHINGTON, DC 20037"	"Restaurant Total"	"http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=6764"	"http://maps.google.com/maps?q=2500 PENNSYLVANIA AVE NW WASHINGTON, DC 20037"	2023338060	"a-bar-kitchen-washington"	38.9034432	-77.0536769
6994	"A BLOOMIN SANDWICH CAFE"	"2141 K ST NW Washington, DC 20037"	"Restaurant Total"	"http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=6994"	"http://maps.google.com/maps?q=2141 K ST NW Washington, DC 20037"	2026590033	"a-bloomin-sandwich-cafe-washington"	38.9029128	-77.0480662
3640	"AARP"	"601 E ST NW Washington, DC 20004"	"Restaurant Total"	"http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=3640"	"http://maps.google.com/maps?q=601 E ST NW Washington, DC 20004"	2024346405	"no_yelp"	38.8965252	-77.0207595
4408	"AATISH ON THE HILL"	"609 PENNSYLVANIA AVE SE WASHINGTON, DC 20003"	"Restaurant Total"	"http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=4408"	"http://maps.google.com/maps?q=609 PENNSYLVANIA AVE SE WASHINGTON, DC 20003"	2025440931	"aatish-on-the-hill-washington"	38.8850778	-76.9980217
188728	"ABABA ETHOIPIAN RESTAURANT"	"2106 18TH ST NW Washington, DC 20009"	"Restaurant Total"	"http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=188728"	"http://maps.google.com/maps?q=2106 18TH ST NW Washington, DC 20009"	5713887707	"ababa-restaurant-northwest-washington"	38.9181238	-77.0418896
147343	"ABSOLUTE NOODLES"	"772 5TH ST NW Washington, DC 20001"	"Restaurant Total"	"http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=147343"	"http://maps.google.com/maps?q=772 5TH ST NW Washington, DC 20001"	2027890022	"absolute-noodle-washington"	38.8992356	-77.0190397
4789	"ABSOLUTE PIZZA KABAB "	"2005 18TH ST NW Washington, DC 20009"	"Restaurant Total"	"http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=4789"	"http://maps.google.com/maps?q=2005 18TH ST NW Washington, DC 20009"	2029864646	"absolute-kabab-pizza-washington"	38.9173355	-77.0413758
6132	"ABSOLUTE THAI RESTAURANT"	"521 G ST NW WASHINGTON, DC 20001"	"Restaurant Total"	"http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=6132"	"http://maps.google.com/maps?q=521 G ST NW WASHINGTON, DC 20001"	2025067272	"absolute-thai-washington"	38.8986072	-77.0195255
5137	"ACACIA BISTRO"	"4340 CONNECTICUT AVE NW Washington, DC 20008"	"Restaurant Total"	"http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=5137"	"http://maps.google.com/maps?q=4340 CONNECTICUT AVE NW Washington, DC 20008"	2025371040	"acacia-bistro-and-wine-bar-washington-2"	38.946214	-77.065222
1207	"ACADIANA RESTAURANT"	"901 NEW YORK AVE NW Washington, DC 20001"	"Restaurant Total"	"http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=1207"	"http://maps.google.com/maps?q=901 NEW YORK AVE NW Washington, DC 20001"	2024088848	"acadiana-washington"	38.9020684	-77.0255225
