report,violation,corrected_on_site,repeat_violation
105164,0.0,0,0
105164,2.0,1,0
105164,20.0,1,0
105164,31.0,0,0
105164,35.0,0,0
105164,36.0,1,0
105166,0.0,0,0
105166,14.0,1,0
105166,47.0,1,0
105169,0.0,0,0
105169,2.0,1,0
105169,8.0,1,0
105178,0.0,0,0
105185,0.0,0,0
105185,2.0,1,0
105185,12.0,1,0
105185,26.0,1,0
105185,49.0,0,0
119160,0.0,0,0
119160,13.0,0,0
119160,14.0,0,0
119160,20.0,0,0
119161,0.0,0,0
119161,8.0,0,0
119161,51.0,0,0
119165,0.0,0,0
119165,50.0,0,0
119168,0.0,0,0
119168,2.0,0,0
119168,8.0,0,0
119168,12.0,0,0
119168,14.0,0,0
119168,18.0,0,0
119168,20.0,0,0
119168,33.0,1,0
119168,46.0,0,0
119169,0.0,0,0
119170,0.0,0,0
119170,20.0,1,1
119170,30.0,0,0
119174,0.0,0,0
119179,0.0,0,0
119179,2.0,0,0
119179,8.0,0,0
119179,13.0,0,0
119179,19.0,0,0
119179,33.0,0,0
119179,36.0,0,0
119179,51.0,0,0
119179,53.0,0,0
119183,0.0,0,0
119183,17.0,1,0
119183,19.0,1,0
119183,21.0,1,0
119191,0.0,0,0
119191,14.0,1,0
119191,20.0,1,0
119191,46.0,0,0
119191,53.0,0,0
119194,0.0,0,0
119194,8.0,1,0
119194,14.0,0,0
119194,20.0,0,0
119194,34.0,0,0
119194,47.0,0,0
119194,52.0,0,0
119198,0.0,0,0
119198,2.0,1,0
119198,8.0,1,0
119198,14.0,1,0
119198,38.0,1,0
119198,41.0,0,0
119198,47.0,0,0
119203,0.0,0,0
119203,14.0,1,0
119203,53.0,0,0
119206,0.0,0,0
119206,14.0,1,0
119209,0.0,0,0
119209,12.0,1,0
119209,13.0,1,0
119209,20.0,0,0
119209,31.0,0,0
119209,39.0,0,0
119209,42.0,1,0
119210,0.0,0,0
119210,37.0,0,0
119218,0.0,0,0
119222,0.0,0,0
119222,20.0,1,0
119222,38.0,0,0
119224,0.0,0,0
119224,1.0,0,0
119224,2.0,0,0
119224,13.0,1,0
119224,14.0,0,0
119224,20.0,0,0
119224,21.0,0,0
119224,34.0,0,0
119224,52.0,0,0
119224,53.0,0,0
119226,0.0,0,0
119226,13.0,0,0
119226,14.0,0,0
119226,20.0,0,0
119226,21.0,0,0
119226,31.0,0,0
119226,41.0,0,0
119226,47.0,0,0
119226,53.0,0,0
119237,0.0,0,0
119237,8.0,0,0
119237,34.0,0,0
119237,51.0,0,0
119239,0.0,0,0
119251,0.0,0,0
119251,2.0,1,0
119251,21.0,1,0
119251,37.0,0,0
119251,46.0,0,0
119254,0.0,0,0
119254,21.0,1,0
119254,33.0,0,0
119254,34.0,0,0
119254,46.0,0,0
119259,0.0,0,0
119259,12.0,1,0
119259,46.0,0,0
119261,0.0,0,0
119261,14.0,0,0
119261,20.0,0,0
119261,31.0,0,0
119261,36.0,0,0
119261,41.0,0,0
119261,43.0,0,0
119263,0.0,0,0
119263,8.0,0,0
119263,13.0,0,0
119263,14.0,0,0
119263,21.0,0,0
119263,33.0,0,0
119263,36.0,0,0
119263,46.0,0,0
119263,47.0,0,0
119263,48.0,0,0
119268,0.0,0,0
119268,13.0,1,1
119268,14.0,1,1
119268,31.0,0,0
119272,0.0,0,0
119272,1.0,0,0
119272,2.0,0,0
119272,14.0,0,0
119277,0.0,0,0
119277,8.0,0,0
119277,41.0,0,0
119280,0.0,0,0
119280,2.0,1,0
119280,8.0,0,0
119285,0.0,0,0
119289,0.0,0,0
119289,2.0,0,0
119289,13.0,0,0
119289,46.0,0,0
119289,50.0,0,0
119294,0.0,0,0
119300,0.0,0,0
119300,1.0,0,0
119300,2.0,0,0
119300,34.0,0,0
119303,0.0,0,0
119303,8.0,0,0
119303,34.0,0,0
119303,45.0,0,0
119304,0.0,0,0
119304,2.0,0,0
119304,13.0,0,0
119304,14.0,0,0
119304,18.0,1,0
119304,20.0,1,0
119304,23.0,0,0
119304,43.0,0,0
119304,46.0,0,0
