license_number,report_id
0931368006025,105164
0930366004780,105166
,105169
09313680038166,105178
09313711017737,105185
0931366003103,119160
93130120002000,119161
9313012000214,119165
0931370108805,119168
0931313000280,119169
4223241005868,119170
0931365001915,119174
9313012000129,119179
5212650006238,119183
0931339008253,119191
0931315000030,119194
9313012000154,119198
93130500005258,119203
0931339700592,119206
0931339108682,119209
0931365004994,119210
0931371102760,119218
9313020000229,119222
0931364003090,119224
0931371100466,119226
0931314000124,119237
0931366005084,119239
0931367003410,119251
0931339309297,119254
9313070107754,119259
0931368006333,119261
09313659900008,119263
0931366002880,119268
0931369007348,119272
0505553002894,119277
0931339802487,119280
0931368006333,119285
09313140000044,119289
09313140000044,119294
0931312000210,119300
0931314000055,119303
0931312000108,119304
0931313000007,119313
0931370108977,119322
0930568001733,119323
09313110003523,119342
0931369007348,119344
0931339405634,119345
0931313000328,119349
9313040003916,119351
0931315000179,119356
0931314000129,119359
0931341002418,119364
,119366
0931339803632,119370
9313050006357,119371
9313011003532,119376
0931315000242,119377
0931366005084,119389
0931369002816,119391
0931314000111,119392
0931369010877,119402
0931339008253,119409
0931314000049,136845
0931366005472,153377
0931370105678,153383
2632968007982,153385
0931313000107,153398
0931339500509,153401
0931369007517,153404
0931368003212,153408
0931313000024,153412
09313701004295,153417
0931370109001,153421
03053054001793,153422
0931369005002,153424
0931310003477,153426
0931310003477,153427
0931314000183,153430
0931314000183,153431
0931350004724,153434
0931350004724,153435
0931369001875,183118
0931350008853,183120
,183123
,183124
0931339702292,183126
0410315000025,183135
0931312000111,183137
0931313000040,183148
0931341002787,183153
0931312000013,183160
0931369003168,183168
0931353001334,183172
0931368000481,183181
0931369001875,183200
0931370109258,183210
0931313000052,183220
2736071102667,183240
0931371103276,183241
0931368005433,183245
0931369003168,183251
0931341001473,183255
0000068002270,183261
0931367000761,183277
0931312000060,183279
0931311003507,183280
09313120000247,183282
0931350008853,183294
0931365005028,183295
0931367000761,183297
0931366005472,183298
0931313000040,183305
0931313000086,183306
0931367002959,183307
0931313000255,183320
0931369003168,183326
9313050007359,183335
3310653005639,183338
2029966005965,183345
0931341002787,183348
2747171102262,183356
0931368005433,183363
2632968007982,183365
0931320000361,183373
0931367003020,183385
09313200000349,183390
0931312000111,183411
0931365001915,183414
0931313000052,183429
931350005989,183437
0931369001939,183439
0931369010111,183441
0931313000265,183451
0931371103276,183454
0931370107681,183468
0930568007814,183469
0931341001473,183472
0931350006261,183474
0931369008986,183482
0931350005195,183493
0931369001478,183499
931350005989,183511
0931369006783,183518
0931368005625,183531
0931370105678,183547
09305500005116,183560
0931369001939,183566
0931368002225,183579
2081167000391,183580
0000012000182,183582
0931313000106,183583
0931370103072,183589
0931339101633,183596
0931313000107,183604
0931311003471,183609
9313065004728,183610
0931368000157,183611
0931369010111,183614
0931367002959,183616
0931313000273,183618
0931312000091,183619
0931368005625,183623
0931368005625,183624
0931368005625,183625
0931365005028,183628
0931367005302,183631
9313068006528,183636
0931369010111,183637
0931370101803,183650
9313068006528,183654
0931366003103,183664
0931371103174,183682
0931369003001,183689
9313065004728,183697
0931366007059,183700
0931368002225,183701
