inspec_id,permit_id,insp_date_x,insp_timein,insp_type,crit_viol,non_crit_viol,crit_viol_cos,crit_viol_rpt,non_crit_viol_cos,non_crit_viol_rpt,crit_viol_tbr,non_crit_viol_tbr,lat,lon
105164,5853,2013-06-12,18:20:00,Routine,5.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,38.91984,-77.0414099
105166,3794,2013-06-12,14:45:00,Routine,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,38.9175771,-77.0221628
204568,3794,2014-06-18,12:06:00,Routine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.9175771,-77.0221628
610684,3794,2015-03-18,10:40:00,Routine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.9175771,-77.0221628
823545,3794,2016-04-04,10:00:00,Routine,3.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,38.9175771,-77.0221628
105169,5852,2013-06-14,10:45:00,Routine,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,38.9284986,-77.0335765
105185,1992,2013-06-26,19:00:00,Routine,3.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,38.931055,-77.038633
119160,2477,2013-07-12,18:00:00,Routine,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,38.918465,-77.0249709
202432,2477,2014-03-20,18:50:00,Routine,5.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,38.918465,-77.0249709
119161,6643,2013-07-12,19:10:00,Routine,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,38.919314,-77.0252272
119168,5357,2013-07-24,18:00:00,Routine,7.0,1.0,1.0,0.0,0.0,0.0,6.0,1.0,38.9041053,-77.0380755
203615,5357,2014-05-14,13:40:00,Routine,5.0,4.0,2.0,0.0,1.0,0.0,3.0,3.0,38.9041053,-77.0380755
810349,5357,2015-05-12,11:45:00,Routine,5.0,3.0,2.0,0.0,1.0,0.0,3.0,2.0,38.9041053,-77.0380755
824524,5357,2016-05-10,13:55:00,Routine,8.0,4.0,2.0,0.0,1.0,0.0,6.0,3.0,38.9041053,-77.0380755
119179,6471,2013-08-02,14:15:00,Routine,6.0,2.0,0.0,0.0,0.0,0.0,6.0,2.0,38.924755,-77.0229119
119183,3500,2013-08-07,10:30:00,Routine,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,38.9587293,-77.0851373
201185,3500,2014-01-17,13:20:00,Routine,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,38.9587293,-77.0851373
204813,3500,2014-07-08,14:52:00,Routine,2.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,38.9587293,-77.0851373
607763,3500,2015-02-10,13:15:00,Routine,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,38.9587293,-77.0851373
812957,3500,2015-08-27,23:58:00,Routine,4.0,2.0,1.0,0.0,0.0,0.0,3.0,2.0,38.9587293,-77.0851373
119191,2981,2013-08-09,13:00:00,Routine,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,38.9336614,-77.0726921
119409,2981,2014-06-13,11:00:00,Routine,2.0,3.0,0.0,0.0,0.0,0.0,2.0,3.0,38.9336614,-77.0726921
199336,2981,2013-10-10,13:30:00,Routine,3.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,38.9336614,-77.0726921
607125,2981,2015-01-15,13:30:00,Routine,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,38.9336614,-77.0726921
812452,2981,2015-08-05,12:40:00,Routine,6.0,5.0,6.0,0.0,1.0,0.0,0.0,4.0,38.9336614,-77.0726921
824080,2981,2016-04-22,11:49:00,Routine,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,38.9336614,-77.0726921
119198,6566,2013-08-14,12:23:00,Routine,4.0,2.0,4.0,0.0,0.0,0.0,0.0,2.0,38.9330436,-77.0849157
405955,6566,2014-11-20,13:20:00,Routine,3.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,38.9330436,-77.0849157
824425,6566,2016-05-06,11:59:00,Routine,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,38.9330436,-77.0849157
119203,3372,2013-08-16,12:45:00,Routine,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,38.9458945,-77.095346
810737,3372,2015-05-27,12:15:00,Routine,5.0,2.0,4.0,0.0,0.0,0.0,1.0,2.0,38.9458945,-77.095346
119206,147242,2013-08-19,11:20:00,Routine,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,38.9018897,-77.0399257
