inspec_id,permit_id,insp_date_x,insp_timein,insp_type,crit_viol,non_crit_viol,crit_viol_cos,crit_viol_rpt,non_crit_viol_cos,non_crit_viol_rpt,crit_viol_tbr,non_crit_viol_tbr
105164,5853,2013-06-12,18:20:00,Routine,5.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0
105166,3794,2013-06-12,14:45:00,Routine,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
105169,5852,2013-06-14,10:45:00,Routine,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
105185,1992,2013-06-26,19:00:00,Routine,3.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0
119160,2477,2013-07-12,18:00:00,Routine,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
119161,6643,2013-07-12,19:10:00,Routine,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
119168,5357,2013-07-24,18:00:00,Routine,7.0,1.0,1.0,0.0,0.0,0.0,6.0,1.0
119179,6471,2013-08-02,14:15:00,Routine,6.0,2.0,0.0,0.0,0.0,0.0,6.0,2.0
119183,3500,2013-08-07,10:30:00,Routine,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
119191,2981,2013-08-09,13:00:00,Routine,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0
119198,6566,2013-08-14,12:23:00,Routine,4.0,2.0,4.0,0.0,0.0,0.0,0.0,2.0
119203,3372,2013-08-16,12:45:00,Routine,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
119206,147242,2013-08-19,11:20:00,Routine,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
119209,3319,2013-08-20,12:00:00,Routine,5.0,1.0,2.0,0.0,1.0,0.0,3.0,0.0
119210,2019,2013-08-20,14:00:00,Routine,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
119222,6732,2013-09-05,11:05:00,Routine,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
119224,2336,2013-09-06,13:45:00,Routine,7.0,2.0,1.0,0.0,0.0,0.0,6.0,2.0
119226,3031,2013-09-05,18:45:00,Routine,5.0,3.0,0.0,0.0,0.0,0.0,5.0,3.0
119251,3322,2013-09-24,11:00:00,Routine,3.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0
