"abra_license"	"dcra_num"	"trade_name"	"abra_class"	"abra_endorsements"	"abra_status"	"dcra_status"	"category"	"dcra_start"	"dcra_exp"	"dcra_issue"	"address"	"city"	"state"	"zip"	"ward"	"anc"	"mpd_dist"	"lat"	"lng"
"ABRA-060398"	"65002206"	" FELIX NELSON AYALA"	"C"		"Active"	"ACTIVE"	"Restaurant"	"2015-04-01T00:00:00.000Z"	"2017-03-31T00:00:00.000Z"	"2015-04-09T00:00:00.000Z"	"3568 14TH STREET NW"	"WASHINGTON"	"DC"	"20010"	"1"	"1A"	"FOURTH"	"38.936247"	"-77.03302"
"ABRA-093103"	"931315000243"	"100 H ST., LLC"	"C"		"Active"	"ACTIVE"	"Restaurant"	"2015-09-01T00:00:00.000Z"	"2017-08-31T00:00:00.000Z"	"2015-09-16T00:00:00.000Z"	"1001 H STREET NE"	"WASHINGTON"	"DC"	"20002"	"6"	"6A"	"FIRST"	"38.899983"	"-76.992451"
"ABRA-074001"	"65006102"	"1000 K, L.L.C."	"C"		"Active"	"ACTIVE"	"Restaurant"	"2015-11-01T00:00:00.000Z"	"2017-10-31T00:00:00.000Z"	"2015-10-30T00:00:00.000Z"	"900 10TH STREET NW"	"WASHINGTON"	"DC"	"20001"	"2"	"2F"	"FIRST"	"38.902014"	"-77.026204"
"ABRA-076906"	"68000440"	"1010 V, LLC"	"C"		"Active"	"ACTIVE"	"Restaurant"	"2016-01-01T00:00:00.000Z"	"2017-12-31T00:00:00.000Z"	"2016-01-15T00:00:00.000Z"	"1010 VERMONT AVENUE NW"	"WASHINGTON"	"DC"	"20005"	"2"	"2F"	"SECOND"	"38.903075"	"-77.033817"
	"931314000196"	"1110 U Street LLC"				"ACTIVE"	"Restaurant"	"2016-05-01T00:00:00.000Z"	"2018-04-30T00:00:00.000Z"	"2016-03-21T00:00:00.000Z"	"1110 U STREET NW"	"WASHINGTON"	"DC"	"20001"	"1"	"1B"	"THIRD"	"38.916852"	"-77.027735"
	"931314000196"	"1110 U Street LLC"				"ACTIVE"	"Restaurant"	"2016-05-01T00:00:00.000Z"	"2018-04-30T00:00:00.000Z"	"2016-03-21T00:00:00.000Z"	"1110 U STREET NW"	"WASHINGTON"	"DC"	"20001"	"1"	"1B"	"THIRD"	"38.916852"	"-77.027735"
	"70104892"	"1213 U ST LLC"				"READY TO BATCH PRINT"	"Restaurant"	"2016-06-01T00:00:00.000Z"	"2018-05-31T00:00:00.000Z"	"2016-05-05T00:00:00.000Z"	"1213 U STREET NW"	"WASHINGTON"	"DC"	"20009"	"1"	"1B"	"THIRD"	"38.917265"	"-77.028775"
"ABRA-077883"	"68004923"	"1215 CT LLC"	"C"		"Active"	"ACTIVE"	"Restaurant"	"2014-08-01T00:00:00.000Z"	"2016-07-31T00:00:00.000Z"	"2014-07-12T00:00:00.000Z"	"1215 CONNECTICUT AVENUE NW"	"WASHINGTON"	"DC"	"20036"	"2"	"2B"	"SECOND"	"38.906407"	"-77.04112"
"ABRA-096845"	"68004923"	"1215 CT LLC"	"C"		"Active"	"ACTIVE"	"Restaurant"	"2014-08-01T00:00:00.000Z"	"2016-07-31T00:00:00.000Z"	"2014-07-12T00:00:00.000Z"	"1215 CONNECTICUT AVENUE NW"	"WASHINGTON"	"DC"	"20036"	"2"	"2B"	"SECOND"	"38.906407"	"-77.04112"
"ABRA-077883"	"68004923"	"1215 CT LLC"	"C"		"Active"	"READY TO RENEW"	"Restaurant"	"2014-08-01T00:00:00.000Z"	"2016-07-31T00:00:00.000Z"	"2016-05-06T00:00:00.000Z"	"1215 CONNECTICUT AVENUE NW"	"WASHINGTON"	"DC"	"20036"	"2"	"2B"	"SECOND"	"38.906407"	"-77.04112"
